G,GS,Pass_Att,Pass_Cmp,Pass_Pct,Pass_Yds,Pass_YPA,Pass_YPG,Pass_TD,Pass_T%,Pass_Int,Pass_I%,Pass_Lg,Pass_FD,Pass_20+,Sack,Loss,Rate,Rush_Att,Rush_Yds,Rush_Avg,Rush_YPG,Rush_Lg,Rush_TD,Rush_FD,Rec_10+,Rec,Rec_Yds,Rec_Avg,Rec_YPG,Rec_Lg,Rec_TD,Rec_FD,Rec_20+,Rec_Tar,Rec_YAC,Player
91,84,4,2,50.0,84,21.0,0.9,2,50.0,0,0.0,50t,1,1,0,0,135.4,"1,297","6,185",4.77,68.0,84t,52,307,122,509,"4,320",8.49,47.5,49,29,231,24,630,"3,972",mccaffrey christian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,davis mike
81,61,2,0,0.0,0,0.0,0.0,0,0.0,1,50.0,0,0,0,0,0,0.0,"1,144","4,518",3.95,55.8,90t,34,231,66,312,"2,219",7.11,27.4,44,7,113,8,388,"2,321",fournette leonard
,,,,,,,,,,,,,,,,,,674,"3,513",5.21,39.0,80t,32,171,92,92,738,8.02,8.2,76t,8,29,7,122,727,mostert raheem
49,48,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,769,"3,502",4.55,71.5,61,24,201,53,107,804,7.51,16.4,29,7,35,4,131,815,carson chris
36,15,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,1,7,0.0,398,"1,581",3.97,43.9,61,11,77,33,38,320,8.42,8.9,38,1,14,3,47,299,akers cam
78,66,1,1,100.0,6,6.0,0.1,1,100.0,0,0.0,6t,1,0,0,0,131.2,888,"4,049",4.56,51.9,51t,20,204,110,175,"1,164",6.65,14.9,49,4,46,8,231,"1,174",singletary devin
41,17,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,361,"1,355",3.75,33.0,30,7,61,28,101,701,6.94,17.1,59t,6,27,6,128,704,gaskin myles
,,,,,,,,,,,,,,,,,,472,"2,188",4.64,49.7,64t,21,117,55,42,297,7.07,6.8,21,0,12,1,53,291,damien harris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,carter michael
97,88,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,"1,571","6,412",4.08,66.1,51,49,337,104,283,"2,139",7.56,22.1,67,13,84,15,347,"2,393",joe mixon
,,,,,,,,,,,,,,,,,,234,"1,347",5.76,56.1,72t,12,65,36,27,177,6.56,7.4,20,1,7,1,35,183,dobbins jk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harris najee
91,38,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,1,8,0.0,"1,030","4,436",4.31,48.7,69t,40,248,62,226,"1,890",8.36,20.8,78t,17,97,7,285,"1,820",hunt kareem
121,102,2,2,100.0,62,31.0,0.5,0,0.0,0,0.0,41,--,--,0,0,118.8,6,31,5.17,0.3,12,0,--,--,347,"5,598",16.13,46.3,97t,43,--,--,--,--,taylor jonathan
119,88,9,7,77.8,37,4.1,0.3,4,44.4,0,0.0,12t,4,0,0,0,123.4,"2,030","9,502",4.68,79.8,99t,90,467,170,155,"1,458",9.41,12.3,75t,3,47,11,202,"1,548",henry derrick
,,,,,,,,,,,,,,,,,,24,114,4.75,38.0,18,0,--,--,2,9,4.50,3.0,5,0,--,--,--,--,robinson james
128,84,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,--,--,1,2,39.6,3,2,0.67,0.0,4,0,--,--,265,"3,926",14.82,30.7,77t,26,--,--,--,--,ingram mark
,,,,,,,,,,,,,,,,,,0,0,0.00,0.0,0,0,0,--,0,0,0.00,0.0,0,0,0,--,--,--,edwards helaire clyde
103,68,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,990,"4,355",4.40,42.3,72t,39,228,81,440,"3,884",8.83,37.7,84t,30,179,23,556,"4,087",ekeler austin
,,,,,,,,,,,,,,,,,,1,-5,-5.00,-0.2,0,0,0,--,29,410,14.14,13.7,49,1,17,--,--,--,williams javonte
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jacobs josh
,,,,,,,,,,,,,,,,,,5,17,3.40,0.2,11,0,0,--,13,103,7.92,0.9,17t,2,2,--,--,--,smith devonta
140,133,1,0,0.0,0,0.0,0.0,0,0.0,1,100.0,0,0,0,0,0,0.0,14,41,2.93,0.3,11,0,3,1,667,"9,486",14.22,67.8,90t,60,437,84,"1,078","2,992",cooper amari
,,,,,,,,,,,,,,,,,,2,17,8.50,0.2,9,0,0,0,226,"3,670",16.24,50.3,75t,22,173,32,408,"1,003",golladay kenny
,,,,,,,,,,,,,,,,,,10,71,7.10,0.9,27,0,5,3,378,"5,283",13.98,66.0,75t,25,244,78,609,"1,736",mclaurin terry
60,57,7,4,57.1,69,9.9,1.1,0,0.0,0,0.0,24,4,2,0,0,90.8,12,28,2.33,0.5,11,1,3,2,392,"5,899",15.05,98.3,71t,30,264,103,576,"1,820",jefferson justin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,williams tyrell
,,,,,,,,,,,,,,,,,,7,49,7.00,16.3,27t,1,--,--,1,8,8.00,2.7,8,0,--,--,--,--,adams davante
,,,,,,,,,,,,,,,,,,13,59,4.54,1.0,16,1,3,3,213,"2,593",12.17,43.2,64,11,122,34,360,975,mooney darnell
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,evans mike
77,--,3,1,33.3,18,6.0,0.2,0,0.0,1,33.3,18,--,--,1,6,15.3,"1,087","4,196",3.86,54.5,34,19,--,--,192,"2,011",10.47,26.1,35,11,--,--,--,--,thomas michael
,,,,,,,,,,,,,,,,,,22,85,3.86,1.3,19,0,7,5,324,"4,358",13.45,66.0,75t,36,216,55,516,"1,062",ridley calvin
,,,,,,,,,,,,,,,,,,,,,,,,,,1,8,8.00,2.0,8,0,--,--,--,--,anderson robbie
66,58,3,1,33.3,24,8.0,0.4,1,33.3,0,0.0,24t,1,1,0,0,102.8,160,"1,007",6.29,15.3,51,19,48,36,283,"4,122",14.57,62.5,83,19,161,70,429,"2,671",samuel deebo
,,,,,,,,,,,,,,,,,,3,17,5.67,0.2,7,0,0,0,372,"5,332",14.33,65.0,84t,43,249,71,618,"1,551",metcalf dk
85,70,4,2,50.0,32,8.0,0.4,0,0.0,0,0.0,33,1,1,0,0,77.1,22,159,7.23,1.9,28,0,8,4,377,"4,797",12.72,56.4,80t,28,214,60,576,"1,541",kirk christian
92,78,4,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,39.6,24,129,5.38,1.4,20t,1,11,5,567,"7,066",12.46,76.8,75t,51,327,84,791,"3,305",kupp cooper
136,128,1,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,1,2,39.6,32,162,5.06,1.2,27,0,10,3,810,"9,995",12.34,73.5,75t,67,479,79,"1,178","3,267",diggs stefon
,,,,,,,,,,,,,,,,,,8,41,5.12,0.9,12,1,2,1,251,"3,385",13.49,72.0,84t,18,166,41,361,"1,370",waddle jaylen
135,98,1,1,100.0,15,15.0,0.1,0,0.0,0,0.0,15,0,0,0,0,118.8,14,71,5.07,0.5,16,0,4,1,375,"4,627",12.34,34.3,85t,35,197,39,618,"1,598",agholor nelson
--,--,3,1,33.3,22,7.3,--,0,0.0,1,33.3,22,--,--,--,--,20.8,143,382,2.67,--,18,4,--,--,19,133,7.00,--,14,0,--,--,--,--,davis corey
45,45,1,1,100.0,-7,-7.0,-0.2,0,0.0,0,0.0,0,0,0,1,9,79.2,15,23,1.53,0.5,10,0,2,1,268,"3,717",13.87,82.6,82t,29,177,49,407,"1,628",chase ja'marr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brown marquise
58,32,1,1,100.0,1,1.0,0.0,1,100.0,0,0.0,1t,1,0,0,0,118.8,33,171,5.18,2.9,25,2,14,8,175,"2,261",12.92,39.0,84t,13,103,35,314,792,claypool chase
110,97,6,4,66.7,144,24.0,1.3,2,33.3,0,0.0,57t,2,1,1,6,149.3,23,170,7.39,1.5,50t,1,8,4,566,"7,932",14.01,72.1,89t,59,370,36,944,"2,658",beckham jr odell
77,69,2,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0,39.6,5,70,14.00,0.9,49t,1,3,2,379,"5,947",15.69,77.2,91t,42,268,82,598,"2,148",brown aj
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,jones julio
,,,,,,,,,,,,,,,,,,2,20,10.00,0.3,20,0,1,1,212,"3,069",14.48,44.5,73t,23,138,48,383,768,chark dj
,,,,,,,,,,,,,,,,,,1,3,3.00,0.0,3,0,1,0,220,"2,922",13.28,25.0,70t,15,147,25,371,998,conley chris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hill tyreek
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,allen keenan
